"Source:","/Users/clarissadaniel/Desktop/LabBench2.0/Power_Supply/powersupply/powersupply.sch"
"Date:","Tuesday, August 06, 2019 at 03:06:19 PM"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/private/var/folders/4n/bxh41g_d1t59nmhvtjs2t4zc0000gn/T/AppTranslocation/7FCD3F19-C25A-4779-8780-723088FE4F9F/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","330 uF","Device:CP1_Small","","~"
"","","C2","1500pF","Device:CP1_Small","","~"
"","","C3","330uF","Device:CP1_Small","","~"
"","","C4","100uF","Device:CP1_Small","","~"
"","","C5","100uF","Device:CP1_Small","","~"
"","","C101","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C102","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C103","15uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C104","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","C105","15uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"","","D1","1N5819","Device:D_Zener_Small","","~"
"","","D2","1N5819","Device:D_Small","","~"
"","","D3","6V","Device:D_Zener_Small","","~"
"","","J1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J2","USB_B_Micro","Connector:USB_B_Micro","","~"
"","","L1","170uH","Device:L_Small","","~"
"","","L2","1uH","Device:L_Small","","~"
"","","Q1","Q_PMOS_GDS","Device:Q_PMOS_GDS","","~"
"","","R1","3.17k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","180","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
