Source:,/Users/clarissadaniel/Desktop/wavegenerator_verson_1/wavegenerator_v1.sch,,,,,,,,,,
Date:,"Tuesday, July 09, 2019 at 02:38:23 PM",,,,,,,,,,
Tool:,Eeschema (5.1.2-1)-1,,,,,,,,,,
Generator:,/private/var/folders/4n/bxh41g_d1t59nmhvtjs2t4zc0000gn/T/AppTranslocation/DA27679E-DC47-4979-8058-8EDF014347C0/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,52,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Field4,Field5,,,
1,2,"C1, C2",100nF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,K104K15X7RF53H5,https://www.mouser.com/ProductDetail/Vishay-BC-Components/K104K15X7RF53H5?qs=sGAEpiMZZMukHu%252BjC5l7YRhxIXvXZbr8Zb8o%252B6qB3ZE%3D,,,
2,2,"C3, C4",12pF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,S120K25SL0N63L6R,https://www.mouser.com/ProductDetail/Vishay-BC-Components/S120K25SL0N63L6R?qs=sGAEpiMZZMukHu%252BjC5l7YSRSaTC18NK7vUmfrEM1%252BXw%3D,,,
3,1,C5,4.7uF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,FG28X5R1E475KRT00,https://www.mouser.com/ProductDetail/TDK/FG28X5R1E475KRT00?qs=sGAEpiMZZMt3KoXD5rJ2N3%2FB4IwRhPfOxff0XBKBevkGuAirvzD3Ow%3D%3D,,,
4,1,C6,33nF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,FG18X7R1H333KNT00,https://www.mouser.com/ProductDetail/TDK/FG18X7R1H333KNT00?qs=sGAEpiMZZMukHu%252BjC5l7YTvFF0ytHSxtkVimpRM6hCY%3D,,,
5,1,C7,15pF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,FG28C0G1H150JNT00,https://www.mouser.com/ProductDetail/TDK/FG28C0G1H150JNT00?qs=sGAEpiMZZMukHu%252BjC5l7YTvFF0ytHSxtXcBj2K2cfw8%3D,,,
6,2,"C8, C11",0.1uF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,K104K15X7RF53H5,https://www.mouser.com/ProductDetail/Vishay-BC-Components/K104K15X7RF53H5?qs=sGAEpiMZZMukHu%252BjC5l7YRhxIXvXZbr8Zb8o%252B6qB3ZE%3D,,,
7,1,C9,220pF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,FA18C0G1H221JNU00,https://www.mouser.com/ProductDetail/TDK/FA18C0G1H221JNU00?qs=sGAEpiMZZMukHu%252BjC5l7YULwtSFRy9F3w30ShxLzogA%3D,,,
8,4,"C10, C12, C16, C17",1uF,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,FG18X7R1E105KRT00,https://www.mouser.com/ProductDetail/TDK/FG18X7R1E105KRT00?qs=sGAEpiMZZMt3KoXD5rJ2N3%2FB4IwRhPfOHxuzLsooISnXweidzCyO0Q%3D%3D,,,
9,1,C13,100uF,Device:CP1_Small,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,~,RGA101M1CBK-0611G,https://www.mouser.com/ProductDetail/Lelon/RGA101M1CBK-0611G?qs=sGAEpiMZZMukHu%252BjC5l7YTYIOOFomd%2F25Bjr74GGZ4I%3D,,,
10,1,C14,1500 pF,Device:CP1_Small,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,~,FG18C0G1H152JNT06,https://www.digikey.com/product-detail/en/tdk-corporation/FG18C0G1H152JNT06/445-173177-1-ND/5811782,,,
11,1,C15,1000uF,Device:CP1_Small,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,~,REA102M1ABK-1012P,https://www.mouser.com/ProductDetail/Lelon/REA102M1ABK-1012P?qs=sGAEpiMZZMukHu%252BjC5l7YdUWsaL8IEw%252BWMI47jFTtzc%3D,,,
12,1,D1,1N5819,Device:D_Zener_Small,Diode_THT:D_A-405_P7.62mm_Horizontal,~,1N5819-E3/54,https://www.digikey.com/product-detail/en/vishay-semiconductor-diodes-division/1N5819-E3-54/1N5819-E3-54GITR-ND/1023527,,,
13,1,J1,01x06,wavegenerator_v1:PinHeaders,wavegenerator_v1:pins_updated,~,pin headers in lab,,,,
14,1,J2,USB_B_Micro,Connector:USB_B_Micro,wavegenerator_v1:USB_Micro-B_Amphenol_10118194-0001LF_Horizontal,~,10118194-0001LF,https://www.digikey.com/product-detail/en/amphenol-icc-fci/10118194-0001LF/609-4618-1-ND/2785382,,,
15,1,J3,Conn_Coaxial,Connector:Conn_Coaxial,Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,~,731000105,https://www.digikey.com/product-detail/en/molex/0731000105/WM5524-ND/1465146,,,
16,1,L1,82uH,Device:L_Core_Iron,Inductor_THT:L_Radial_D6.0mm_P4.00mm,~,RLB0608-820KL,https://www.mouser.com/ProductDetail/Bourns/RLB0608-820KL?qs=%2Fha2pyFaduhoLJTc49vkZKcu2WzjHQomGQpMkXrCD9lEL%2FXMPTjhsQ%3D%3D,,,
17,1,R1,10k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,CF14JT1K00,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT1K00/CF14JT1K00TR-ND/1741314,,,
